tree_id,split,n_dets,pass_geometric_mean_blend,pass_floor_clamped_hybrid,pass_visibility,pass_side_coverage,pass_adaptive_corrected,pass_median3_floor,pass_density_scaled_vis,n_methods_pass,any_pass,all_pass
DAMIMAS_A21B_0001,train,17,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0002,train,25,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0003,train,20,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0004,train,15,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0005,test,16,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0006,train,16,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0007,train,30,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0008,train,18,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0009,train,10,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0010,train,22,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0011,train,14,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0012,test,16,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0013,val,17,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0014,test,18,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0015,test,26,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0016,train,8,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0017,train,17,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0018,train,11,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0019,train,25,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0020,train,16,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0021,test,21,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0022,test,16,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0023,train,16,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0024,train,20,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0025,train,12,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0026,val,13,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0027,train,21,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0028,val,21,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0029,train,23,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0030,train,13,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0031,train,13,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0032,train,22,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0033,train,18,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0034,train,16,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0035,train,13,0,0,0,0,0,0,0,0,0,0
DAMIMAS_A21B_0036,train,15,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0037,val,21,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0038,val,21,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0039,test,15,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0040,train,21,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0041,test,23,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0042,train,15,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0043,train,23,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0044,test,16,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0045,train,29,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0046,test,14,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0047,val,13,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0048,val,18,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0049,train,13,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0050,train,15,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0051,train,25,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0052,train,25,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0053,train,15,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0054,test,20,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0055,train,22,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0056,train,15,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0057,train,24,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0058,train,16,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0059,test,10,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0060,val,16,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0061,train,21,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0062,train,16,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0063,val,16,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0064,train,13,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0065,train,25,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0066,train,27,1,1,1,1,1,1,1,7,1,1
