tree_id,split,B1_gt,B2_gt,B3_gt,B4_gt,B1_pred,B2_pred,B3_pred,B4_pred,MAE,total_gt,total_pred,within_1,error_sum,err_B1,err_B2,err_B3,err_B4,selected_method,unstable_gate,B1_ratio,B2_ratio,B3_ratio,B4_ratio
DAMIMAS_A21B_0001,train,1,2,5,0,1,3,5,0,0.25,8,9,True,1,0,1,0,0,best_visibility_grid,True,2.0,2.5,3.3333,0.0
DAMIMAS_A21B_0244,train,0,0,0,7,0,0,0,9,0.5,7,9,False,2,0,0,0,2,adaptive_corrected,True,0.0,0.0,0.0,3.75
DAMIMAS_A21B_0577,train,3,0,4,2,3,0,3,2,0.25,9,8,True,1,0,0,1,0,adaptive_corrected,False,3.0,0.0,3.0,3.0
DAMIMAS_A21B_0002,train,1,0,7,4,2,0,7,5,0.5,12,14,True,2,1,0,0,1,class_aware_vis,True,4.0,0.0,2.75,2.5
DAMIMAS_A21B_0245,train,0,0,3,2,0,0,2,3,0.5,5,5,True,2,0,0,1,1,adaptive_corrected,False,0.0,0.0,2.0,3.0
DAMIMAS_A21B_0578,train,1,5,1,0,1,4,1,0,0.25,7,6,True,1,0,1,0,0,adaptive_corrected,False,2.0,2.6667,2.0,0.0
DAMIMAS_A21B_0003,train,1,2,5,1,1,3,6,1,0.5,9,11,True,2,0,1,1,0,adaptive_corrected,False,2.0,2.5,3.6667,2.0
DAMIMAS_A21B_0246,train,0,6,6,4,0,5,5,4,0.5,16,14,True,2,0,1,1,0,adaptive_corrected,False,0.0,2.0,2.6667,2.0
DAMIMAS_A21B_0579,train,5,3,6,1,5,4,6,1,0.25,15,16,True,1,0,1,0,0,adaptive_corrected,False,2.5,3.0,3.3333,2.0
DAMIMAS_A21B_0004,train,0,0,8,0,0,0,8,0,0.0,8,8,True,0,0,0,0,0,adaptive_corrected,False,0.0,0.0,3.75,0.0
DAMIMAS_A21B_0247,train,2,3,5,0,2,3,6,0,0.25,10,11,True,1,0,0,1,0,adaptive_corrected,False,2.0,3.0,3.3333,0.0
DAMIMAS_A21B_0580,train,2,4,6,1,2,5,7,1,0.5,13,15,True,2,0,1,1,0,adaptive_corrected,False,2.0,2.6667,4.0,1.0
DAMIMAS_A21B_0005,train,1,3,3,2,1,3,3,1,0.25,9,8,True,1,0,0,0,1,adaptive_corrected,False,2.0,3.0,3.0,2.0
DAMIMAS_A21B_0248,train,0,2,5,4,0,2,5,3,0.25,11,10,True,1,0,0,0,1,best_visibility_grid,True,0.0,1.5,3.3333,2.5
DAMIMAS_A21B_0581,train,1,3,5,2,1,3,5,2,0.0,11,11,True,0,0,0,0,0,adaptive_corrected,False,2.0,2.5,3.0,2.0
DAMIMAS_A21B_0006,train,1,0,5,3,1,0,4,4,0.5,9,9,True,2,0,0,1,1,adaptive_corrected,False,2.0,0.0,4.0,3.0
DAMIMAS_A21B_0249,train,0,1,9,0,0,1,9,0,0.0,10,10,True,0,0,0,0,0,adaptive_corrected,False,0.0,1.0,3.4,0.0
DAMIMAS_A21B_0582,train,2,6,5,2,2,6,5,2,0.0,15,15,True,0,0,0,0,0,adaptive_corrected,False,4.0,3.3333,3.0,1.5
DAMIMAS_A21B_0007,train,3,3,9,3,3,2,9,3,0.25,18,17,True,1,0,1,0,0,adaptive_corrected,False,3.0,2.0,3.0,2.5
DAMIMAS_A21B_0250,train,2,1,8,8,2,1,8,9,0.25,19,20,True,1,0,0,0,1,adaptive_corrected,False,3.0,1.0,2.6,2.1667
DAMIMAS_A21B_0583,train,1,2,0,0,1,2,0,0,0.0,3,3,True,0,0,0,0,0,adaptive_corrected,False,2.0,4.0,0.0,0.0
DAMIMAS_A21B_0008,train,2,3,4,0,2,3,4,0,0.0,9,9,True,0,0,0,0,0,adaptive_corrected,False,2.0,2.0,4.0,0.0
