tree_id,split,ok,MAE,gt_B1,gt_B2,gt_B3,gt_B4,pred_B1,pred_B2,pred_B3,pred_B4,err_B1,err_B2,err_B3,err_B4
DAMIMAS_A21B_0001,train,True,0.5,1,2,5,0,1,3,6,0,0,1,1,0
DAMIMAS_A21B_0244,train,False,0.5,0,0,0,7,0,0,0,9,0,0,0,2
DAMIMAS_A21B_0577,train,True,0.25,3,0,4,2,3,0,3,2,0,0,1,0
DAMIMAS_A21B_0002,train,False,1.0,1,0,7,4,2,0,6,6,1,0,1,2
DAMIMAS_A21B_0245,train,False,0.75,0,0,3,2,0,0,2,4,0,0,1,2
DAMIMAS_A21B_0578,train,True,0.25,1,5,1,0,1,4,1,0,0,1,0,0
DAMIMAS_A21B_0003,train,True,0.5,1,2,5,1,1,3,6,1,0,1,1,0
DAMIMAS_A21B_0246,train,False,0.75,0,6,6,4,0,4,5,4,0,2,1,0
DAMIMAS_A21B_0579,train,True,0.0,5,3,6,1,5,3,6,1,0,0,0,0
DAMIMAS_A21B_0004,train,True,0.25,0,0,8,0,0,0,9,0,0,0,1,0
DAMIMAS_A21B_0247,train,True,0.25,2,3,5,0,2,3,6,0,0,0,1,0
DAMIMAS_A21B_0580,train,True,0.25,2,4,6,1,2,4,7,1,0,0,1,0
DAMIMAS_A21B_0005,train,True,0.25,1,3,3,2,1,3,3,1,0,0,0,1
DAMIMAS_A21B_0248,train,True,0.5,0,2,5,4,0,2,6,3,0,0,1,1
DAMIMAS_A21B_0581,train,True,0.0,1,3,5,2,1,3,5,2,0,0,0,0
DAMIMAS_A21B_0006,train,True,0.25,1,0,5,3,1,0,5,4,0,0,0,1
DAMIMAS_A21B_0249,train,True,0.25,0,1,9,0,0,1,10,0,0,0,1,0
DAMIMAS_A21B_0582,train,True,0.25,2,6,5,2,2,5,5,2,0,1,0,0
DAMIMAS_A21B_0007,train,True,0.25,3,3,9,3,3,2,9,3,0,1,0,0
DAMIMAS_A21B_0250,train,True,0.0,2,1,8,8,2,1,8,8,0,0,0,0
DAMIMAS_A21B_0583,train,True,0.0,1,2,0,0,1,2,0,0,0,0,0,0
DAMIMAS_A21B_0008,train,True,0.25,2,3,4,0,2,3,5,0,0,0,1,0
DAMIMAS_A21B_0251,train,True,0.5,1,4,6,2,1,3,6,3,0,1,0,1
DAMIMAS_A21B_0584,train,True,0.25,1,3,5,1,1,3,6,1,0,0,1,0
DAMIMAS_A21B_0009,train,True,0.25,0,0,3,3,0,0,3,2,0,0,0,1
